No,KODE SKPD,SKPD,KREDIT MURNI,SP2D GAJI,SP2D LS,RINCIAN GU/TU,KOREKSI,REALISASI,PROSENTASE,SISA KREDIT,% SISA,Tanggal Impor Data
54,102000000010010,Rumah Sakit Umum Daerah Sumberglagah (BLUD),67897829000,0.0,587061872.0,157224245.0,0.0,744286117.0,1.0961,67153542883.0,98.9038,24/02/2026
55,102000000010011,Rumah Sakit Mata Masyarakat Jawa Timur (BLUD),67000000000,0.0,1965793014.0,261214366.0,0.0,2227007380.0,3.3238,64772992620.0,96.6761,24/02/2026
56,102000000010012,Rumah Sakit Umum Daerah Husada Prima (BLUD),52000000000,0.0,1016161261.0,514000292.0,0.0,1530161553.0,2.9426,50469838447.0,97.0573,24/02/2026
57,102000000010013,Rumah Sakit Umum Daerah Mohammad Noer Pamekasan (BLUD),75385000000,0.0,0.0,579688201.0,0.0,579688201.0,0.7689,74805311799.0,99.231,24/02/2026
58,102000000010014,Rumah Sakit Paru Manguharjo Provinsi Jawa Timur (BLUD),13661449385,0.0,0.0,644808681.0,0.0,644808681.0,4.7199,13016640704.0,95.28,24/02/2026
59,102000000010015,UPT Pelatihan Kesehatan Masyarakat Murnajati (BLUD),27000000000,0.0,0.0,69653931.0,0.0,69653931.0,0.2579,26930346069.0,99.742,24/02/2026
60,209327000020001,UPT Pengembangan Benih Padi dan Palawija (BLUD),12325500000,0.0,0.0,791107195.0,0.0,791107195.0,6.4184,11534392805.0,93.5815,24/02/2026
61,209327000020002,UPT Pengembangan Benih Hortikultura (BLUD),761500000,0.0,0.0,15792926.0,0.0,15792926.0,2.0739,745707074.0,97.926,24/02/2026
62,209327000020003,UPT Pengembangan Agribisnis Tanaman Pangan dan Hortikultura (BLUD),1288000000,0.0,0.0,0.0,0.0,0.0,0.0,1288000000.0,100,24/02/2026
63,325000000010001,UPT Pelabuhan Perikanan Pantai Mayangan (BLUD),6644875000,0.0,0.0,186453000.0,0.0,186453000.0,2.8059,6458422000.0,97.194,24/02/2026
64,325000000010002,UPT Pelabuhan Perikanan Pantai Tamperan (BLUD),835500000,0.0,0.0,16201649.0,0.0,16201649.0,1.9391,819298351.0,98.0608,24/02/2026
65,325000000010003,UPT Pelabuhan Perikanan Pantai Pondokdadap (BLUD),1150000000,0.0,0.0,0.0,0.0,0.0,0.0,1150000000.0,100,24/02/2026
66,504000000010001,UPT Sertifikasi Kompetensi Sumber Daya Manusia (BLUD),1383000000,0.0,0.0,0.0,0.0,0.0,0.0,1383000000.0,100,24/02/2026
