No,NO,KODE SKPD,NAMA SKPD,ANGGARAN,REALISASI,PROSENTASE,Tanggal Impor Data
28,28.0, 4.02.0.00.0.00.01.0000,SEKRETARIAT DPRD,715363126000.0,32997211342.0,4.61,20/02/2026
29,29.0, 5.01.0.00.0.00.01.0000,BADAN PERENCANAAN PEMBANGUNAN DAERAH,90983245000.0,3068988748.0,3.37,20/02/2026
30,30.0, 5.02.0.00.0.00.02.0000,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,5309232823000.0,9283919200.0,0.17,20/02/2026
31,31.0, 5.02.0.00.0.00.03.0000,BADAN PENDAPATAN DAERAH,554831786980.0,31311697599.0,5.64,20/02/2026
32,32.0, 5.03.0.00.0.00.01.0000,BADAN KEPEGAWAIAN DAERAH,52037708078.0,1591237208.0,3.06,20/02/2026
33,33.0, 5.04.0.00.0.00.01.0000,BADAN PENGEMBANGAN SUMBER DAYA MANUSIA,112036469643.0,2596694576.0,2.32,20/02/2026
34,34.0, 5.05.0.00.0.00.01.0000,BADAN RISET DAN INOVASI DAERAH,31636856000.0,1323849986.0,4.18,20/02/2026
35,35.0, 5.07.0.00.0.00.01.0000,BADAN PENGHUBUNG DAERAH PROVINSI,23105359000.0,1241027710.0,5.37,20/02/2026
36,36.0, 5.07.0.00.0.00.02.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR I MADIUN,18715026000.0,725147635.0,3.87,20/02/2026
37,37.0, 5.07.0.00.0.00.03.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR II BOJONEGORO,15588194000.0,669887785.0,4.3,20/02/2026
38,38.0, 5.07.0.00.0.00.04.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR III MALANG,15898397000.0,601210224.0,3.78,20/02/2026
39,39.0, 5.07.0.00.0.00.05.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR IV PAMEKASAN,14483144000.0,529614689.0,3.66,20/02/2026
40,40.0, 5.07.0.00.0.00.06.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR V JEMBER,13993807000.0,628443201.0,4.49,20/02/2026
41,41.0, 6.01.0.00.0.00.01.0000,INSPEKTORAT,73760501000.0,2194013688.0,2.97,20/02/2026
42,42.0, 8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,401533935500.0,972901897.0,0.24,20/02/2026
